279066631451502998554337906829144231884,,root,0,,,10.245.195.5,1583172727.1033268
328150486935039472956321784942775412893,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175031.0695422
271276041229629455820608944104069516969,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175031.741681
87513213458124489279930974095063936246,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175032.0639942
248428334137422411671499554622561447705,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175032.384508
187082189547482604880597980451852832464,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175111.7245824
225195990280008732313555876800612128716,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175112.093382
112163800237067904492983021220372232235,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175112.5859501
154674904466740310813964293078054420639,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175113.174769
206113075173222349665724122194181763923,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175113.4923632
249880732906341792490090879659975687833,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583175113.823756
199442685942660763748389689519727414332,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176262.684593
335131858642386931376277135268461997842,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176263.1314192
94913096482069993738076098913891405927,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176263.6337001
290237054172658915721918150067781132566,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176264.2637415
131646602603586012669148678063559183077,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176264.915381
106637899161068075388852959915842346235,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176265.4629524
288877447160469785896678821183349614363,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176342.2427194
109497612650038873263293851803530479879,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176342.6520112
33904918165161179577107959535324216138,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176343.1547
136959271376272305843128691408375677479,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176343.794942
94352039965239199938210815124874809519,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176344.4253845
113605466061626388247981710145138882581,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176345.0092707
190684735932176736148717962393673989042,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176360.0401418
162395742381839004270294533772545323808,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176360.4195297
310623056512711345751648706426625052092,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176360.9018598
230239735177249674221749768717608970951,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176361.5411613
312986229857417417047057943854616857179,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176362.1757238
142017560491250574737479441230700104608,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176362.514914
271554640849842667743897730414038019807,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176432.9234257
298529521569912220251443214755251693507,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176433.3535473
324498409552083042520805715653982340634,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176433.8576176
196547193423247519645807554675621423490,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176434.508579
3944401166094952534223315874063439445,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176435.1606283
280049713166235366488138636350821159400,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176435.706717
213140748803920890705607232820224451846,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176474.7190685
97674818114589012357823002676496979823,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176475.0989504
244357362979921870720801671525898027700,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176475.599351
139680203805010416972436915047681330078,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176476.2129405
210732137372845679938281397396053865414,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176476.5380116
69119585173287693262513121718883268579,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583176476.873884
310738360305820838667175154555087823728,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177122.5981817
180873825320404230735683503695182383375,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177123.0952013
279109656535195629890655542591418590963,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177123.8698092
168706781673978304981443403660141495792,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177124.3974319
224297172038290843651215190455663691645,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177125.0772452
88051527016176398607007563284571886418,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177125.9184034
279349381816395077729595651531723232046,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177423.1041977
195539700338160779385389178258536562288,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177423.5445695
165310267631048055963582210317837957176,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177424.0860095
