,utf,url,name
64,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
65,U+2763,https://www.fileformat.info/info/unicode/char/2763/heavy_heart_exclamation_mark_ornament.svg,:heavy_heart_exclamation_mark_ornament:
66,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
67,U+2764,https://www.fileformat.info/info/unicode/char/2764/heavy_black_heart.svg,:heavy_black_heart:
68,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
69,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
70,U+2757,https://www.fileformat.info/info/unicode/char/2757/heavy_exclamation_mark_symbol.svg,:heavy_exclamation_mark_symbol:
71,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
72,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
73,U+2753,https://www.fileformat.info/info/unicode/char/2753/black_question_mark_ornament.svg,:black_question_mark_ornament:
74,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
75,U+2755,https://www.fileformat.info/info/unicode/char/2755/white_exclamation_mark_ornament.svg,:white_exclamation_mark_ornament:
76,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
77,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
78,U+274e,https://www.fileformat.info/info/unicode/char/274e/negative_squared_cross_mark.svg,:negative_squared_cross_mark:
79,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
80,U+274c,https://www.fileformat.info/info/unicode/char/274c/cross_mark.svg,:cross_mark:
81,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
82,U+2747,https://www.fileformat.info/info/unicode/char/2747/sparkle.svg,:sparkle:
83,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
84,U+2744,https://www.fileformat.info/info/unicode/char/2744/snowflake.svg,:snowflake:
85,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
86,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
87,U+2733,https://www.fileformat.info/info/unicode/char/2733/eight_spoked_asterisk.svg,:eight_spoked_asterisk:
88,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
89,U+2734,https://www.fileformat.info/info/unicode/char/2734/eight_pointed_black_star.svg,:eight_pointed_black_star:
90,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
91,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
92,U+2728,https://www.fileformat.info/info/unicode/char/2728/sparkles.svg,:sparkles:
93,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
94,U+2721,https://www.fileformat.info/info/unicode/char/2721/star_of_david.svg,:star_of_david:
95,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
96,U+271d,https://www.fileformat.info/info/unicode/char/271d/latin_cross.svg,:latin_cross:
97,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
98,U+2716,https://www.fileformat.info/info/unicode/char/2716/heavy_multiplication_x.svg,:heavy_multiplication_x:
99,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
100,U+2714,https://www.fileformat.info/info/unicode/char/2714/heavy_check_mark.svg,:heavy_check_mark:
101,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
102,U+2712,https://www.fileformat.info/info/unicode/char/2712/black_nib.svg,:black_nib:
103,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
104,U+270f,https://www.fileformat.info/info/unicode/char/270f/pencil.svg,:pencil:
105,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
106,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
107,U+270c,https://www.fileformat.info/info/unicode/char/270c/victory_hand.svg,:victory_hand:
108,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
109,U+2712,https://www.fileformat.info/info/unicode/char/2712/black_nib.svg,:black_nib:
110,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
111,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
112,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
113,U+270c,https://www.fileformat.info/info/unicode/char/270c/victory_hand.svg,:victory_hand:
114,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
115,U+270d,https://www.fileformat.info/info/unicode/char/270d/writing_hand.svg,:writing_hand:
116,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
117,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
